A000355,Republican,"Abraham, Spencer",Michigan,Senate:1995-2001,22,16
A000069,Democratic,"Akaka, Daniel K.",Hawaii,Senate:1990-2013 House:1977-1991,19,12
A000109,Republican,"Allard, Wayne",Colorado,Senate:1997-2009 House:1991-1997,0,0
A000356,Republican,"Ashcroft, John",Missouri,Senate:1995-2001,20,18
B000243,Democratic,"Baucus, Max",Montana,Senate:1979-2014 House:1975-1979,9,12
B000382,Republican,"Bennett, Robert F.",Utah,Senate:1993-2011,13,9
B000444,Democratic,"Biden, Joseph R., Jr.",Delaware,Senate:1973-2009,0,0
B000468,Democratic,"Bingaman, Jeff",NewMexico,Senate:1983-2013,22,27
B000611,Republican,"Bond, Christopher S.",Missouri,Senate:1987-2011,30,11
B000711,Democratic,"Boxer, Barbara",California,Senate:1993-2017 House:1983-1993,44,29
B000780,Democratic,"Breaux, John B.",Louisiana,Senate:1987-2005 House:1971-1987,27,20
B000953,Republican,"Brownback, Sam",Kansas,Senate:1996-2011 House:1995-1996,14,15
B000993,Democratic,"Bryan, Richard H.",Nevada,Senate:1989-2001,9,13
B001057,Democratic,"Bumpers, Dale",Arkansas,Senate:1975-1999,12,10
B001126,Republican,"Burns, Conrad R.",Montana,Senate:1989-2007,0,0
B001210,Democratic,"Byrd, Robert C.",WestVirginia,Senate:1959-2010 House:1953-1959,7,12
C000077,Republican,"Campbell, Ben Nighthorse",Colorado,Senate:1993-2005 House:1987-1993,41,16
C000269,Republican,"Chafee, John H.",RhodeIsland,Senate:1977-1999,35,17
C001034,Democratic,"Cleland, Max",Georgia,Senate:1997-2003,6,17
C000542,Republican,"Coats, Daniel",Indiana,"Senate:1989-1999,2011-2017 House:1981-1989",10,12
C000567,Republican,"Cochran, Thad",Mississippi,Senate:1979-2018 House:1973-1979,14,29
C001035,Republican,"Collins, Susan M.",Maine,Senate:1997-Present,0,0
C000705,Democratic,"Conrad, Kent",NorthDakota,Senate:1987-2013,10,30
C000813,Republican,"Coverdell, Paul",Georgia,Senate:1993-2000,27,31
C000858,Republican,"Craig, Larry E.",Idaho,Senate:1991-2009 House:1981-1991,21,18
D000018,Republican,"D'Amato, Alfonse",NewYork,Senate:1981-1999,0,0
D000064,Democratic,"Daschle, Thomas A.",SouthDakota,Senate:1987-2005 House:1979-1987,39,72
D000294,Republican,"DeWine, Mike",Ohio,Senate:1995-2007 House:1983-1991,0,0
D000388,Democratic,"Dodd, Christopher J.",Connecticut,Senate:1981-2011 House:1975-1981,26,20
D000407,Republican,"Domenici, Pete V.",NewMexico,Senate:1973-2009,31,19
D000432,Democratic,"Dorgan, Byron L.",NorthDakota,Senate:1991-2011 House:1981-1993,30,28
D000563,Democratic,"Durbin, Richard J.",Illinois,Senate:1997-Present House:1983-1997,0,0
E000285,Republican,"Enzi, Michael B.",Wyoming,Senate:1997-2021,4,13
F000437,Republican,"Faircloth, Lauch",NorthCarolina,Senate:1993-1999,38,26
F000061,Democratic,"Feingold, Russell D.",Wisconsin,Senate:1993-2011,0,0
F000062,Democratic,"Feinstein, Dianne",California,Senate:1992-Present,35,37
F000268,Democratic,"Ford, Wendell H.",Kentucky,Senate:1975-1999,14,15
F000439,Republican,"Frist, William H.",Tennessee,Senate:1995-2007,14,12
G000236,Democratic,"Glenn, John H., Jr.",Ohio,Senate:1975-1999,0,0
G000333,Republican,"Gorton, Slade",Washington,"Senate:1981-1987,1989-2001",21,19
G000352,Democratic,"Graham, Bob",Florida,Senate:1987-2005,11,17
